id,name,address,latitude,longitude,poker_atlas_links
43,Artichoke Joe's Casino,"659 Huntington Avenue, San Bruno, CA 94066",37.62794,-122.41082,www.pokeratlas.com/poker-room/artichoke-joes-san-bruno
44,Casino M8trix,"1887 Matrix Blvd, San Jose, CA 95110",37.37143,-121.91942,www.pokeratlas.com/poker-room/casino-m8trix-san-jose
45,Bay 101 Casino,"1788 North First Street, San Jose, CA 95112",37.36981,-121.91332,www.pokeratlas.com/poker-room/bay-101-san-jose
46,Turlock Poker Room,"2321 W Main St, Turlock, CA 95380",37.49436,-120.87496,www.pokeratlas.com/poker-room/turlock-poker-room
47,Garlic City Casino,"8630 San Ysidro Ave, Gilroy, CA",37.02701,-121.56479,www.pokeratlas.com/poker-room/garlic-city-casino-gilroy
48,Bankers Casino,"111 Monterey St, Salinas, CA 93901",36.67722,-121.65411,www.pokeratlas.com/poker-room/bankers-casino-salinas
49,500 Club Casino,"771 W Shaw Avenue, Clovis, CA 93612",36.8097,-119.72666,www.pokeratlas.com/poker-room/500-club-clovis
50,Club One Casino,"3950 N Cedar Ave, Fresno, CA 93726",36.78963,-119.75178,www.pokeratlas.com/poker-room/500-club-clovis
51,Golden West Casino,"1001 South Union Avenue, Bakersfield, CA 93307",35.34527,-119.00351,www.pokeratlas.com/poker-room/golden-west-casino-bakersfield
52,Diamond Jim's Casino,"118 20th Street West, Rosamond, CA 93560",34.82244,-118.1665,www.pokeratlas.com/poker-room/diamond-jims-rosamond
53,Players Casino,"10 W Harbor Blvd, 2nd Floor, Ventura, CA 93001",34.27537,-119.30036,www.pokeratlas.com/poker-room/players-casino-ventura
54,Morongo Casino,"49500 Seminole Dr, Cabazon, CA 92230",33.92203,-116.80044,www.pokeratlas.com/poker-room/morongo-cabazon
55,Agua Caliente Casino,"32-250 Bob Hope Drive, Rancho Mirage, CA 92270",33.81412,-116.4093,www.pokeratlas.com/poker-room/agua-caliente-rancho-mirage
56,Lake Elsinore Casino,"20930 Malaga Road, Lake Elsinore, CA 92530",33.65408,-117.29446,www.pokeratlas.com/poker-room/lake-elsinore
57,Ocean's 11 Casino,"121 Brooks Street, Oceanside, CA 92054",33.20024,-117.36926,www.pokeratlas.com/poker-room/oceans-11-oceanside
58,The Gardens Casino,"11871 Carson Street, Hawaiian Gardens, CA 90716",33.83253,-118.08015,www.pokeratlas.com/poker-room/the-gardens-hawaiian-gardens
59,Hollywood Park Casino,"3883 W Century Blvd., Inglewood, CA 90303",33.94653,-118.33885,www.pokeratlas.com/poker-room/the-gardens-hawaiian-gardens
60,Larry Flynt's Lucky Lady Casino,"1045 W Rosecrans Ave., Gardena, CA 90247",33.90269,-118.29304,www.pokeratlas.com/poker-room/lucky-lady-gardena
61,Hustler Casino,"1000 W Redondo Beach Blvd, Gardena, CA 90247",33.89223,-118.29236,www.pokeratlas.com/poker-room/hustler-casino-gardena
62,Parkwest Bicycle Casino,"888 Bicycle Casino Drive, Bell Gardens, CA 90201",33.96661,-118.16562,www.pokeratlas.com/poker-room/bicycle-casino-bell-gardens
63,Commerce Casino,"6131 East Telegraph Rd., Los Angeles, CA 90040",33.99929,-118.14501,www.pokeratlas.com/poker-room/commerce-casino-los-angeles
64,Seven Mile Casino,"285 Bay Blvd, Chula Vista, CA 91910",32.63682,-117.09979,www.pokeratlas.com/poker-room/seven-mile-casino-chula-vista
65,Jamul Casino,"14145 Campo Road, Jamul, CA 91935",32.70364,-116.86859,www.pokeratlas.com/poker-room/jamul-casino
66,Sycuan Casino,"5469 Casino Way, El Cajon, CA 92019",32.78646,-116.83123,www.pokeratlas.com/poker-room/sycuan-casino-el-cajon
67,Harveys Lake Tahoe,"Hwy 50 at Stateline Ave., Stateline, NV 89449",38.96002,-119.94221,www.pokeratlas.com/poker-room/harveys-lake-tahoe-stateline
68,Silver Legacy Casino,"407 N. Virginia Street, Reno, NV 89501",39.53068,-119.81497,www.pokeratlas.com/poker-room/silver-legacy-reno
69,Grand Sierra Resort Casino,"2500 E 2nd St, Reno, NV 89595",39.52322,-119.78122,www.pokeratlas.com/poker-room/grand-sierra-reno
70,Peppermill Casino,"2707 South Virginia St., Reno, NV 89502",39.49788,-119.80113,www.pokeratlas.com/poker-room/peppermill-reno
71,Atlantis Casino,"3800 S Virginia St, Reno, NV 89502",39.4891,-119.79368,www.pokeratlas.com/poker-room/atlantis-casino-reno
72,Maverick Hotel and Casino,"2065 Idaho Street, Elko, NV 89801",40.84981,-115.74698,www.pokeratlas.com/poker-room/maverick-elko
73,Peppermill Wendover,"680 Wendover Blvd, West Wendover, NV 89883",40.73819,-114.05648,www.pokeratlas.com/poker-room/peppermill-west-wendover
74,Wendover Nugget Casino,"101 Wendover Blvd, West Wendover, NV 89883",40.73522,-114.04416,www.pokeratlas.com/poker-room/wendover-nugget-west-wendover
75,Santa Fe Station,"4949 N Rancho Drive, Las Vegas, NV 89130",36.25075,-115.24498,www.pokeratlas.com/poker-room/santa-fe-station-las-vegas
76,Poker Palace Casino,"2757 Las Vegas Blvd N, North Las Vegas, NV 89030",36.21011,-115.10755,www.pokeratlas.com/poker-room/poker-palace-casino-north-las-vegas
77,Red Rock Casino,"11011 W. Charleston Blvd., Las Vegas, NV 89135",36.15709,-115.33357,www.pokeratlas.com/poker-room/red-rock-las-vegas
78,Boulder Station,"4111 Boulder Highway, Las Vegas, NV 89121",36.13305,-115.0847,www.pokeratlas.com/poker-room/boulder-station-las-vegas
79,South Point Casino,"9777 Las Vegas Blvd South, Las Vegas, NV 89183",36.0117,-115.17456,www.pokeratlas.com/poker-room/south-point-las-vegas
80,Golden Nugget Las Vegas,"129 E. Fremont Street, Las Vegas, NV 89101",36.17017,-115.14482,www.pokeratlas.com/poker-room/golden-nugget-lv-las-vegas
81,Sahara Las Vegas,"2535 S Las Vegas Blvd, Las Vegas, NV 89109",36.14272,-115.15677,www.pokeratlas.com/poker-room/
